Student_ID,Branch,CGPA,10th_Percentage,12th_Percentage,Internship,Skills,Company,Package,Placed
STU1289,Electronics & Comm.,7.96,80.6,67.8,Yes,C++ & VLSI,Infosys (Specialist),9.56,Yes
STU1290,Computer Science,9.05,84.8,86.8,No,Machine Learning,TCS Digital,6.06,Yes
STU1291,Computer Science,6.07,58.6,56.9,Yes,Machine Learning,Not Placed,0.0,No
STU1292,Information Technology,6.68,59.3,68.4,Yes,Data Analytics,Accenture,11.06,Yes
STU1293,Computer Science,8.27,76.7,73.9,Yes,Java & Spring,Accenture,7.92,Yes
STU1294,Computer Science,7.19,63.1,59.8,No,Python & DSA,Not Placed,0.0,No
STU1295,Mechanical,6.41,56.9,65.7,Yes,Python Basics,Not Placed,0.0,No
STU1296,Information Technology,6.83,64.4,67.0,No,Python & DSA,Not Placed,0.0,No
STU1297,Electronics & Comm.,7.16,69.4,61.6,No,Java Core,Not Placed,0.0,No
STU1298,Computer Science,7.59,74.6,74.0,Yes,Java & Spring,Infosys (Specialist),8.01,Yes
STU1299,Computer Science,8.64,82.0,86.0,Yes,Machine Learning,L&T Infotech,6.63,Yes
STU1300,Information Technology,6.75,66.2,66.3,No,Cloud & DevOps,Not Placed,0.0,No
STU1301,Computer Science,7.77,71.5,67.0,Yes,Java & Spring,Accenture,8.3,Yes
STU1302,Computer Science,6.87,66.9,65.9,No,Full Stack Web,Not Placed,0.0,No
STU1303,Information Technology,6.8,62.4,61.9,Yes,Data Analytics,TCS Digital,8.67,Yes
STU1304,Computer Science,6.35,62.2,57.1,Yes,Machine Learning,Accenture,6.92,Yes
STU1305,Information Technology,7.62,66.8,66.3,Yes,Java & Spring,L&T Infotech,10.08,Yes
STU1306,Electronics & Comm.,6.89,60.8,67.2,No,C++ & VLSI,Not Placed,0.0,No
STU1307,Information Technology,7.48,70.4,64.9,Yes,Python & DSA,Cognizant GenC,10.81,Yes
STU1308,Computer Science,7.22,63.6,71.5,Yes,Full Stack Web,Infosys (Specialist),10.46,Yes
STU1309,Electronics & Comm.,6.38,62.2,54.0,Yes,IoT & Python,Not Placed,0.0,No
STU1310,Mechanical,7.89,75.3,73.9,Yes,Core Mechanical,Bosch,8.31,Yes
STU1311,Information Technology,9.04,81.5,86.7,Yes,Full Stack Web,Capgemini,6.7,Yes
STU1312,Mechanical,7.4,74.2,71.7,No,Data Analytics,Bosch,7.01,Yes
STU1313,Information Technology,9.14,90.1,82.7,Yes,Data Analytics,Accenture,7.8,Yes
STU1314,Computer Science,7.67,75.6,70.0,Yes,Cloud & DevOps,TCS Digital,10.38,Yes
STU1315,Information Technology,9.41,89.3,84.1,Yes,Cloud & DevOps,L&T Infotech,10.69,Yes
STU1316,Mechanical,8.87,78.8,83.4,No,CAD & SolidWorks,Tata Motors,6.27,Yes
STU1317,Computer Science,8.11,79.3,69.5,Yes,Full Stack Web,Cognizant GenC,6.51,Yes
STU1318,Information Technology,8.81,85.5,74.8,Yes,Python & DSA,TCS Digital,9.87,Yes
STU1319,Computer Science,6.82,61.5,65.3,Yes,Cloud & DevOps,TCS Digital,11.43,Yes
STU1320,Information Technology,7.68,71.6,73.9,Yes,Data Analytics,Cognizant GenC,10.85,Yes
STU1321,Computer Science,7.67,68.5,77.5,Yes,Java & Spring,L&T Infotech,6.05,Yes
STU1322,Electronics & Comm.,5.76,56.3,52.0,No,Java Core,Not Placed,0.0,No
STU1323,Mechanical,7.83,77.4,73.3,Yes,Data Analytics,Tata Motors,5.49,Yes
STU1324,Electronics & Comm.,7.42,73.1,65.3,No,Embedded Systems,Wipro,3.81,Yes
STU1325,Electronics & Comm.,7.81,75.9,75.8,No,IoT & Python,Accenture,8.12,Yes
STU1326,Computer Science,7.13,72.4,58.8,Yes,Cloud & DevOps,Infosys (Specialist),8.13,Yes
STU1327,Mechanical,6.18,55.0,56.5,No,CAD & SolidWorks,Not Placed,0.0,No
STU1328,Computer Science,8.18,72.2,69.1,Yes,Java & Spring,Cognizant GenC,9.46,Yes
STU1329,Information Technology,5.92,55.0,55.0,No,Data Analytics,Not Placed,0.0,No
STU1330,Computer Science,9.58,96.7,83.3,Yes,Java & Spring,Capgemini,9.75,Yes
STU1331,Computer Science,6.84,69.1,56.7,Yes,Machine Learning,TCS Digital,8.49,Yes
STU1332,Electronics & Comm.,6.74,66.9,56.7,No,Embedded Systems,Not Placed,0.0,No
STU1333,Computer Science,8.68,85.9,82.9,Yes,Full Stack Web,Cognizant GenC,10.03,Yes
STU1334,Computer Science,8.2,77.1,75.8,Yes,Java & Spring,Capgemini,6.42,Yes
STU1335,Information Technology,6.57,63.2,58.6,Yes,Full Stack Web,L&T Infotech,9.71,Yes
STU1336,Computer Science,7.4,74.6,61.3,Yes,Cloud & DevOps,Accenture,11.06,Yes
STU1337,Computer Science,7.69,76.7,73.7,Yes,Full Stack Web,Cognizant GenC,7.37,Yes
STU1338,Civil,6.52,62.8,54.7,No,AutoCAD & Revit,Not Placed,0.0,No
STU1339,Computer Science,8.44,85.6,71.6,Yes,Cloud & DevOps,Cognizant GenC,7.8,Yes
STU1340,Information Technology,8.14,78.1,72.1,Yes,Java & Spring,Cognizant GenC,9.25,Yes
STU1341,Information Technology,7.5,76.1,72.6,Yes,Full Stack Web,Accenture,6.13,Yes
STU1342,Information Technology,6.29,55.0,55.6,No,Java & Spring,Not Placed,0.0,No
STU1343,Mechanical,7.33,70.0,63.8,No,CAD & SolidWorks,Not Placed,0.0,No
STU1344,Civil,7.96,70.1,69.5,No,Python Basics,Cognizant GenC,8.52,Yes
STU1345,Electronics & Comm.,6.26,61.1,56.1,No,Embedded Systems,Not Placed,0.0,No
STU1346,Information Technology,8.19,74.9,72.8,No,Data Analytics,Cognizant GenC,8.49,Yes
STU1347,Computer Science,7.96,78.9,67.8,Yes,Machine Learning,Accenture,7.73,Yes
STU1348,Computer Science,6.21,58.4,56.6,No,Python & DSA,Not Placed,0.0,No
STU1349,Computer Science,6.6,65.1,54.3,No,Cloud & DevOps,Not Placed,0.0,No
STU1350,Computer Science,6.7,62.4,55.3,Yes,Full Stack Web,Not Placed,0.0,No
STU1351,Computer Science,6.4,63.8,55.4,Yes,Full Stack Web,TCS Digital,6.07,Yes
STU1352,Mechanical,7.98,79.7,71.6,No,CAD & SolidWorks,Cognizant GenC,11.05,Yes
STU1353,Computer Science,8.13,79.0,79.1,Yes,Cloud & DevOps,TCS Digital,6.23,Yes
STU1354,Information Technology,8.11,80.9,73.1,Yes,Java & Spring,Infosys (Specialist),7.95,Yes
STU1355,Civil,7.21,64.3,67.9,No,Project Planning,Not Placed,0.0,No
STU1356,Information Technology,8.33,74.2,75.0,Yes,Cloud & DevOps,Infosys (Specialist),9.47,Yes
STU1357,Mechanical,8.32,82.4,74.6,Yes,Data Analytics,Bosch,6.05,Yes
STU1358,Computer Science,7.08,72.0,69.0,Yes,Machine Learning,L&T Infotech,7.97,Yes
STU1359,Electronics & Comm.,7.47,67.9,65.1,No,Embedded Systems,Not Placed,0.0,No
STU1360,Electronics & Comm.,8.76,89.0,79.0,No,IoT & Python,Infosys (Specialist),7.3,Yes
STU1361,Computer Science,7.32,70.6,70.2,Yes,Java & Spring,L&T Infotech,6.78,Yes
STU1362,Civil,8.44,85.8,78.2,Yes,AutoCAD & Revit,Tata Motors,6.91,Yes
STU1363,Computer Science,6.42,62.4,63.4,Yes,Full Stack Web,Cognizant GenC,6.33,Yes
STU1364,Computer Science,7.23,64.0,66.9,Yes,Python & DSA,Cognizant GenC,9.87,Yes
STU1365,Electronics & Comm.,6.55,60.1,66.9,No,Java Core,Not Placed,0.0,No
STU1366,Mechanical,8.94,81.0,88.8,No,Automation,Infosys (Specialist),9.66,Yes
STU1367,Mechanical,6.11,55.6,52.0,Yes,Automation,Not Placed,0.0,No
STU1368,Information Technology,9.9,88.4,92.5,No,Cloud & DevOps,Infosys (Specialist),9.52,Yes
STU1369,Computer Science,6.41,55.8,56.8,Yes,Python & DSA,Not Placed,0.0,No
STU1370,Mechanical,6.54,60.2,53.3,Yes,CAD & SolidWorks,Not Placed,0.0,No
STU1371,Information Technology,7.8,68.7,70.9,Yes,Python & DSA,Accenture,8.71,Yes
STU1372,Information Technology,6.91,65.4,68.7,No,Python & DSA,Not Placed,0.0,No
STU1373,Computer Science,9.3,85.9,83.0,No,Python & DSA,Cognizant GenC,6.94,Yes
STU1374,Information Technology,7.24,73.6,60.9,No,Cloud & DevOps,Not Placed,0.0,No
STU1375,Mechanical,7.07,69.0,66.5,No,CAD & SolidWorks,Not Placed,0.0,No
STU1376,Computer Science,7.6,74.6,73.0,Yes,Cloud & DevOps,Capgemini,7.55,Yes
STU1377,Computer Science,8.76,87.3,75.7,Yes,Machine Learning,Adobe,14.4,Yes
STU1378,Computer Science,7.84,69.5,76.9,Yes,Machine Learning,Accenture,8.69,Yes
STU1379,Electronics & Comm.,8.56,77.5,84.1,Yes,Java Core,Adobe,17.58,Yes
STU1380,Computer Science,7.35,72.9,70.0,Yes,Cloud & DevOps,L&T Infotech,8.28,Yes
STU1381,Electronics & Comm.,7.45,69.4,68.9,No,Java Core,Not Placed,0.0,No
STU1382,Electronics & Comm.,7.48,69.8,73.8,Yes,Data Analytics,L&T Infotech,10.4,Yes
STU1383,Electronics & Comm.,6.99,69.5,59.7,No,IoT & Python,Not Placed,0.0,No
STU1384,Mechanical,8.21,83.9,74.6,No,Python Basics,Cognizant GenC,7.76,Yes
STU1385,Electronics & Comm.,7.57,72.6,70.4,No,Data Analytics,Not Placed,0.0,No
STU1386,Information Technology,8.75,84.6,80.8,Yes,Java & Spring,Amazon,23.1,Yes
STU1387,Information Technology,8.13,77.7,72.6,Yes,Java & Spring,Capgemini,8.67,Yes
STU1388,Electronics & Comm.,8.26,74.2,77.5,No,Embedded Systems,Accenture,10.89,Yes
STU1389,Information Technology,7.54,76.7,74.9,Yes,Data Analytics,Cognizant GenC,7.54,Yes
STU1390,Information Technology,7.23,73.1,61.4,No,Java & Spring,Not Placed,0.0,No
STU1391,Mechanical,6.63,64.2,55.2,No,Data Analytics,Not Placed,0.0,No
STU1392,Electronics & Comm.,7.53,75.4,69.5,Yes,C++ & VLSI,Capgemini,8.79,Yes
STU1393,Computer Science,8.74,77.4,76.1,No,Python & DSA,Infosys (Specialist),6.18,Yes
STU1394,Computer Science,6.93,64.3,63.3,Yes,Python & DSA,Capgemini,6.17,Yes
STU1395,Information Technology,6.83,69.3,64.1,Yes,Python & DSA,Cognizant GenC,10.12,Yes
STU1396,Electronics & Comm.,7.16,64.0,66.9,No,IoT & Python,Not Placed,0.0,No
STU1397,Electronics & Comm.,7.02,65.6,57.9,No,Embedded Systems,Not Placed,0.0,No
STU1398,Information Technology,7.86,78.3,68.4,Yes,Data Analytics,Capgemini,11.32,Yes
STU1399,Electronics & Comm.,6.45,59.5,55.9,No,Data Analytics,Not Placed,0.0,No
STU1400,Mechanical,6.99,66.5,66.6,No,Core Mechanical,Not Placed,0.0,No
